benchmark,time,ratio
500.perlbench_r,426,3.74
502.gcc_r,269,5.26
505.mcf_r,399,4.05
520.omnetpp_r,515,2.55
523.xalancbmk_r,328,3.22
525.x264_r,151,11.60
531.deepsjeng_r,375,3.06
541.leela_r,686,2.41
548.exchange2_r,237,11.05
557.xz_r,549,1.97
int_rate,3935,4.06
503.bwaves_r,311,32.24
507.cactuBSSN_r,185,6.84
508.namd_r,209,4.55
510.parest_r,479,5.46
511.povray_r,441,5.29
519.lbm_r,205,5.14
521.wrf_r,275,8.15
526.blender_r,340,4.48
527.cam4_r,1099,1.59
538.imagick_r,450,5.53
544.nab_r,253,6.65
549.fotonik3d_r,436,8.94
554.roms_r,292,5.44
fp_rate,4975,6.08
