benchmark,time,ratio
500.perlbench_r,1592,1.00
502.gcc_r,1416,1.00
505.mcf_r,1616,1.00
520.omnetpp_r,1312,1.00
523.xalancbmk_r,1056,1.00
525.x264_r,1751,1.00
531.deepsjeng_r,1146,1.00
541.leela_r,1656,1.00
548.exchange2_r,2620,1.00
557.xz_r,1080,1.00
int_rate,0,1.00
503.bwaves_r,10028,1.00
507.cactuBSSN_r,1266,1.00
508.namd_r,950,1.00
510.parest_r,2616,1.00
511.povray_r,2335,1.00
519.lbm_r,1054,1.00
521.wrf_r,2240,1.00
526.blender_r,1523,1.00
527.cam4_r,1749,1.00
538.imagick_r,2487,1.00
544.nab_r,1683,1.00
549.fotonik3d_r,3897,1.00
554.roms_r,1589,1.00
fp_rate,0,1.00
